Region,Country/Territory,DeathsAttributable,DiabetesRelatedExpPP,Year
Middle East and North Africa,Afghanistan,"31,743",143.1,2021
Europe,Albania,"4,248",676.1,2021
Middle East and North Africa,Algeria,"21,749",862.8,2021
Western Pacific,American Samoa,-,-,2021
Europe,Andorra,-,"3,063.90",2021
Africa,Angola,"11,173",519.8,2021
North America and Caribbean,Anguilla,-,-,2021
North America and Caribbean,Antigua and Barbuda,147,"1,015.80",2021
South and Central America,Argentina,"26,944","1,420.40",2021
Europe,Armenia,"2,392","1,174.30",2021
North America and Caribbean,Aruba,-,-,2021
Western Pacific,Australia,"23,226","5,944.00",2021
Europe,Austria,"12,021","6,574.70",2021
Europe,Azerbaijan,"7,577",482.4,2021
North America and Caribbean,Bahamas,470,"2,496.60",2021
Middle East and North Africa,Bahrain,536,"1,324.90",2021
South-East Asia,Bangladesh,"75,617",76.5,2021
North America and Caribbean,Barbados,"1,008","1,106.40",2021
Europe,Belarus,"11,242","1,023.50",2021
Europe,Belgium,"10,714","6,433.20",2021
North America and Caribbean,Belize,441,830.5,2021
Africa,Benin,927,181.6,2021
North America and Caribbean,Bermuda,-,-,2021
South-East Asia,Bhutan,379,194.7,2021
South and Central America,Bolivia (Plurinational State of),"7,517",898.8,2021
Europe,Bosnia and Herzegovina,"5,113","1,125.20",2021
Africa,Botswana,"2,044","2,155.30",2021
South and Central America,Brazil,"214,175","2,728.50",2021
North America and Caribbean,British Virgin Islands,-,-,2021
Western Pacific,Brunei Darussalam,532,901.3,2021
Europe,Bulgaria,"10,521","1,892.40",2021
Africa,Burkina Faso,"2,813",192.3,2021
Africa,Burundi,"3,925",102.5,2021
Africa,Cabo Verde,70,912.1,2021
Western Pacific,Cambodia,"8,772",261.5,2021
Africa,Cameroon,"12,614",286.2,2021
North America and Caribbean,Canada,"53,046","4,802.90",2021
North America and Caribbean,Cayman Islands,-,-,2021
Africa,Central African Republic,"3,655",267.7,2021
Africa,Chad,"5,247",133.6,2021
Europe,Channel Islands,-,-,2021
South and Central America,Chile,"18,591","1,583.90",2021
Western Pacific,China,"1,396,662","1,173.50",2021
Western Pacific,"China, Hong Kong SAR",-,-,2021
Western Pacific,"China, Macao SAR",-,-,2021
South and Central America,Colombia,"35,562","1,772.80",2021
Africa,Comoros,440,205.6,2021
Africa,Congo,"3,104",251.4,2021
Western Pacific,Cook Islands,-,-,2021
South and Central America,Costa Rica,"3,663","2,890.00",2021
Europe,Croatia,"6,218","1,197.50",2021
South and Central America,Cuba,"10,714","3,117.40",2021
North America and Caribbean,Curaçao,-,-,2021
Europe,Cyprus,"1,101","2,570.80",2021
Europe,Czechia,"1,146","2,177.50",2021
